METRO_NAME,EMPIRICAL_UNDERPRODUCTION_2012,EMPIRICAL_UNDERPRODUCTION_2013,EMPIRICAL_UNDERPRODUCTION_2014,EMPIRICAL_UNDERPRODUCTION_2015,EMPIRICAL_UNDERPRODUCTION_2016,EMPIRICAL_UNDERPRODUCTION_2017,EMPIRICAL_UNDERPRODUCTION_2018,EMPIRICAL_UNDERPRODUCTION_2019,EMPIRICAL_UNDERPRODUCTION_2021,EMPIRICAL_UNDERPRODUCTION_2022,EMPIRICAL_UNDERPRODUCTION_2023,HOUSEHOLDS_2012,HOUSEHOLDS_2013,HOUSEHOLDS_2014,HOUSEHOLDS_2015,HOUSEHOLDS_2016,HOUSEHOLDS_2017,HOUSEHOLDS_2018,HOUSEHOLDS_2019,HOUSEHOLDS_2021,HOUSEHOLDS_2022,HOUSEHOLDS_2023,HOUSING_UNITS_2012,HOUSING_UNITS_2013,HOUSING_UNITS_2014,HOUSING_UNITS_2015,HOUSING_UNITS_2016,HOUSING_UNITS_2017,HOUSING_UNITS_2018,HOUSING_UNITS_2019,HOUSING_UNITS_2021,HOUSING_UNITS_2022,HOUSING_UNITS_2023,ADJUSTED_HOUSING_UNITS_2012 ,ADJUSTED_HOUSING_UNITS_2013 ,ADJUSTED_HOUSING_UNITS_2014 ,ADJUSTED_HOUSING_UNITS_2015 ,ADJUSTED_HOUSING_UNITS_2016 ,ADJUSTED_HOUSING_UNITS_2017 ,ADJUSTED_HOUSING_UNITS_2018 ,ADJUSTED_HOUSING_UNITS_2019 ,ADJUSTED_HOUSING_UNITS_2021 ,ADJUSTED_HOUSING_UNITS_2022 ,ADJUSTED_HOUSING_UNITS_2023,UNINHABITABLE_UNITS_2012,UNINHABITABLE_UNITS_2013 ,UNINHABITABLE_UNITS_2014 ,UNINHABITABLE_UNITS_2015 ,UNINHABITABLE_UNITS_2016 ,UNINHABITABLE_UNITS_2017 ,UNINHABITABLE_UNITS_2018 ,UNINHABITABLE_UNITS_2019 ,UNINHABITABLE_UNITS_2021 ,UNINHABITABLE_UNITS_2022 ,PROBLEM_HOUSING_UNITS_2023,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,POPULATION_2021,POPULATION_2022,POPULATION_2023,MISSING_HOUSEHOLDS_2012,MISSING_HOUSEHOLDS_2013,MISSING_HOUSEHOLDS_2014,MISSING_HOUSEHOLDS_2015,MISSING_HOUSEHOLDS_2016,MISSING_HOUSEHOLDS_2017,MISSING_HOUSEHOLDS_2018,MISSING_HOUSEHOLDS_2019,MISSING_HOUSEHOLDS_2021,MISSING_HOUSEHOLDS_2022,MISSING_HOUSEHOLDS_2023,ANNUAL_PRODUCTION_2012,ANNUAL_PRODUCTION_2013,ANNUAL_PRODUCTION_2014,ANNUAL_PRODUCTION_2015,ANNUAL_PRODUCTION_2016,ANNUAL_PRODUCTION_2017,ANNUAL_PRODUCTION_2018,ANNUAL_PRODUCTION_2019,ANNUAL_PRODUCTION_2021,ANNUAL_PRODUCTION_2022,ANNUAL_PRODUCTION_2023,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2012,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2013,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2014,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2015,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2016,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2017,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2018,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2019,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2021,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2022,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_2012,UNDERPRODUCTION_SHARE_OF_UNITS_2013,UNDERPRODUCTION_SHARE_OF_UNITS_2014,UNDERPRODUCTION_SHARE_OF_UNITS_2015,UNDERPRODUCTION_SHARE_OF_UNITS_2016,UNDERPRODUCTION_SHARE_OF_UNITS_2017,UNDERPRODUCTION_SHARE_OF_UNITS_2018,UNDERPRODUCTION_SHARE_OF_UNITS_2019,UNDERPRODUCTION_SHARE_OF_UNITS_2021,UNDERPRODUCTION_SHARE_OF_UNITS_2022,UNDERPRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2012,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2013,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2014,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2015,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2016,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2017,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2018,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2019,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2021,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2022,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2023,BURDENED_2012,BURDENED_2013,BURDENED_2014,BURDENED_2015,BURDENED_2016,BURDENED_2017,BURDENED_2018,BURDENED_2019,BURDENED_2021,BURDENED_2022,BURDENED_2023,RENT_2012,RENT_2013,RENT_2014,RENT_2015,RENT_2016,RENT_2017,RENT_2018,RENT_2019,RENT_2021,RENT_2022,RENT_2023,VALUE_2012,VALUE_2013,VALUE_2014,VALUE_2015,VALUE_2016,VALUE_2017,VALUE_2018,VALUE_2019,VALUE_2021,VALUE_2022,VALUE_2023,VACATION_2012,VACATION_2013,VACATION_2014,VACATION_2015,VACATION_2016,VACATION_2017,VACATION_2018,VACATION_2019,VACATION_2021,VACATION_2022,VACATION_2023
"Decatur, AL",-1410.32,314.82,-706.29,-57.43,692.99,89.45,323.28,2711.24,3134.59,284.23,2206.45,59790,60129,58351,60696,57753,56691,57863,59315,60796,62616,64527,65857,65363,66672,66664,66793,67503,66271,67398,68230,68633,69497,65857,65117,65272,65947,63563,63458,64331,64830,65224,67338,68762,0,246,1400,717,3230,4045,1940,2568,3006,1295,735,123775,124277,122990,124248,123353,123832,122012,123746,125747,125563,126641,1587.791965,2187.022335,3140.152828,2055.973924,3443.179288,3830.382422,3712.509002,5009.991705,4307.414932,1786.127062,3062.00419,NA,-494,1309,-8,129,710,-1232,1127,416,403,864,NA,-0.76%,1.96%,-0.01%,0.19%,1.05%,-1.86%,1.67%,0.61%,0.59%,1.24%,-2.14%,0.48%,-1.06%,-0.09%,1.04%,0.13%,0.49%,4.02%,4.59%,0.41%,3.17%,182,94,162,133,102,131,146,64,49,182,82,0.411375351,0.341203064,0.373375633,0.353514906,0.35243211,0.400868213,0.407425382,0.306472081,0.325384768,0.361728395,0.325219573,558,589,602,597,572,599,705,694,637,813,854,116800,113600,112800,125700,120400,137100,132500,142900,165800,187700,213500,616,1045,122,216,NA,239,1258,NA,NA,735,NA
"Cincinnati, OH-KY-IN",-8704.87,-10359.35,2270.68,-1499.12,2469.46,6648.92,13774.21,10310.82,25118.55,23614.17,27154.38,738645,743526,748955,753038,761261,771432,778898,784518,808874,818418,825498,820387,821812,823939,826009,830977,837123,842229,845255,858146,864809,868733,810793,811190,813296,817671,821167,826044,833064,836401,851678,857626,864349,9594,10622,10643,8338,9810,11079,9165,8854,6468,7183,4384,1533138,1535514,1548307,1560645,1570704,1583063,1549931,1557702,1591496,1604536,1611299,25248.45253,19169.85322,27775.16957,24268.54989,23154.68073,21608.87474,27614.57631,21874.21351,26170.33461,20858.3506,23552.8361,NA,1425,2127,2070,4968,6146,5106,3026,6445.5,6663,3924,NA,0.17%,0.26%,0.25%,0.60%,0.73%,0.61%,0.36%,0.75%,0.77%,0.45%,-1.06%,-1.26%,0.28%,-0.18%,0.30%,0.79%,1.64%,1.22%,2.93%,2.73%,3.13%,149,169,113,138,129,112,116,131,96,101,83,0.468534955,0.423945307,0.440103643,0.431898113,0.416424529,0.401115165,0.429926645,0.404117868,0.422097517,0.431116746,0.450752708,723,729,751,775,793,790,850,854,923,996,1101,151800,152000,152100,159200,165200,165500,173500,186100,217700,248700,270100,6318,4760,6404,6965,5137,4900,4990,4504,5085,5745,5404
"Bremerton-Silverdale-Port Orchard, WA",-407.53,-680.90,-2714.97,-1291.68,3593.57,967.94,3526.37,4477.38,4018.15,5290.09,3609.81,97026,97853,95249,98490,101994,104902,105413,107524,106399,109245,109652,105372,105854,106223,106011,108627,110734,111693,113162,112288,114245,115766,105018,105390,105479,105997,108403,110298,111556,112060,112006,113792,115201,354,464,744,14,224,436,137,1102,282,453,565,211333,208976,209845,215596,218916,220464,216259,217271,223362,225131,227272,2603.023197,1869.952,2621.500922,1229.347867,4669.402741,1065.561113,4189.259382,3463.981551,4100.188413,4166.513905,3501.148037,NA,482,369,-212,2616,2107,959,1469,-437,1957,1521,NA,0.46%,0.35%,-0.20%,2.41%,1.90%,0.86%,1.30%,-0.39%,1.71%,1.31%,-0.39%,-0.64%,-2.56%,-1.22%,3.31%,0.87%,3.16%,3.96%,3.58%,4.63%,3.12%,117,144,224,184,48,110,77,65,78,43,84,0.478706059,0.529936306,0.49966705,0.455160313,0.409607086,0.446009925,0.47624156,0.488585462,0.498101442,0.498546289,0.534603592,1010,1020,1028,1057,1162,1179,1305,1433,1484,1700,1808,255600,255000,255200,269200,288800,326200,363400,378800,473900,538400,564600,3293,2730,2991,3689,1933,1920,2385,2087,2348,3055,3147
"Baltimore-Columbia-Towson, MD",2792.48,6858.38,5786.90,3878.36,-695.55,14123.30,15819.48,21638.31,33683.46,32030.99,36157.13,1017952,1020133,1015156,1019426,1026652,1035541,1035227,1043955,1097867,1105819,1106905,1111861,1115251,1122071,1127548,1132920,1134346,1138116,1142833,1169907,1174888,1177093,1093602,1096552,1099733,1105599,1113208,1112109,1116927,1123056,1151466,1159681,1162307,18259,18699,22338,21949,19712,22237,21189,19777,18441,15207,14786,2199757,2218498,2233947,2243432,2245284,2260642,2187505,2182020,2213669,2227175,2222162,26233.22148,30734.02549,37720.09107,37219.10241,32883.66518,37061.19053,43579.17482,46230.06159,30846.77018,29144.79781,34489.41195,NA,3390,6820,5477,5372,1426,3770,4717,13537,4981,2205,NA,0.30%,0.61%,0.49%,0.47%,0.13%,0.33%,0.41%,1.16%,0.42%,0.19%,0.25%,0.61%,0.52%,0.34%,-0.06%,1.25%,1.39%,1.89%,2.88%,2.73%,3.07%,92,91,101,112,143,98,124,118,97,102,85,0.467737504,0.494699237,0.478582236,0.464834684,0.448474194,0.475723627,0.471610591,0.465075984,0.506211359,0.497030971,0.508703375,1089,1132,1166,1184,1226,1241,1265,1316,1390,1461,1557,271100,270000,279900,290300,293900,297300,308500,313200,351200,371200,385900,8840,8438,9152,7980,7608,6110,4846,6606,5214,4550,5506
"Burlington-South Burlington, VT",2556.92,2631.88,3308.53,2438.40,475.00,2753.48,1841.51,1804.95,4544.56,1938.30,2294.73,84978,84401,85221,85555,85740,87914,87328,89859,92933,72106,73215,88157,86922,88878,88679,89803,90711,91837,92593,95608,74167,74845,88157,86334,88416,88502,89552,90221,91642,92547,95608,73773,74845,0,588,462,177,251,490,195,46,0,394,0,179719,179810,181255,184559,182390,184973,178338,176699,180745,134365,135321,1416.207491,328.413628,2135.699564,1054.904502,0,633.1283793,1703.911544,0,2450.390867,0,251.4070017,NA,-1235,1956,-199,1124,908,1126,756,1507.5,-21441,678,NA,-1.42%,2.20%,-0.22%,1.25%,1.00%,1.23%,0.82%,1.58%,-28.91%,0.91%,2.90%,3.03%,3.72%,2.75%,0.53%,3.04%,2.01%,1.95%,4.75%,2.61%,3.07%,33,32,29,54,119,59,107,115,45,107,86,0.457235288,0.527979481,0.502638522,0.497529223,0.484461187,0.531671694,0.469329139,0.566413694,0.497389509,0.510956816,0.453381462,953,996,1149,1118,1138,1212,1159,1242,1458,1442,1604,249700,251800,254400,266800,272100,272200,279300,291800,347900,382600,400000,4342,6341,5760,5753,6201,7259,5977,6901,6112,NA,NA
"Elkhart-Goshen, IN",1408.02,366.07,1345.63,919.03,468.35,391.35,620.08,-382.61,-1469.81,3140.56,2458.74,70858,71056,70636,68498,72487,73363,73660,68553,69014,74362,73438,77120,77167,77707,77269,77703,77956,78942,79548,79472,79264,80454,74852,75883,75682,74548,77218,76817,78878,79221,79165,79005,80252,2268,1284,2025,2721,485,1139,64,327,307,259,202,152774,152872,155121,156491,156617,157949,154603,155381,157454,159448,159178,1770.585813,1562.159771,2723.643678,3375.365334,1499.995762,168.7600715,2052.455836,6531.181636,4981.420581,3871.869263,5334.129908,NA,47,540,-438,434,253,986,606,-38,-208,1190,NA,0.06%,0.69%,-0.57%,0.56%,0.32%,1.25%,0.76%,-0.05%,-0.26%,1.48%,1.83%,0.47%,1.73%,1.19%,0.60%,0.50%,0.79%,-0.48%,-1.85%,3.96%,3.06%,56,95,59,90,115,121,136,185,248,66,87,0.414163646,0.463886343,0.43478065,0.414631847,0.387892377,0.309907886,0.363131878,0.455327384,0.437233804,0.476996546,0.490532658,708,696,714,729,742,789,804,841,903,967,1079,120700,119300,125900,134900,129300,143900,152800,160400,177500,200400,214000,722,350,NA,717,637,913,852,294,595,1118,804
"Kankakee, IL",-1576.65,-484.43,-1131.35,-3052.20,-1134.03,-1157.24,279.91,936.57,-562.02,1391.61,2023.68,41267,41822,40733,38754,39314,39628,40642,39582,41021,61154,61679,45062,44592,44635,44867,44784,44376,45216,45042,45171,65490,66471,44907,44422,43901,44077,42919,43607,43596,43158,44139,64391,64431,155,170,734,790,1865,769,1620,1884,1032,1099,2040,89375,88490,89067,89607,88727,87942,83747,84363,82190,124686,126067,0,23.3009653,0,317.2358613,481.2136445,800.3459793,1144.578938,2412.825545,480.8885059,1496.105902,1611.172179,NA,-470,43,232,-83,-408,840,-174,64.5,20319,981,NA,-1.05%,0.10%,0.52%,-0.19%,-0.92%,1.86%,-0.39%,0.14%,31.03%,1.48%,-3.50%,-1.09%,-2.53%,-6.80%,-2.53%,-2.61%,0.62%,2.08%,-1.24%,2.12%,3.04%,242,162,223,296,223,223,141,111,233,119,88,0.448895899,0.382878576,0.427338243,0.451786864,0.392038601,0.46841507,0.542499813,0.497483663,0.357729258,0.424853825,0.449766744,775,794,850,846,850,792,864,923,922,1021,1058,148800,135100,136700,136300,140000,151100,147300,153300,165700,198400,182900,NA,464,569,517,416,1057,354,647,NA,NA,NA
"Lebanon, PA",1083.95,-686.90,167.22,1256.18,-335.85,-1580.70,2877.23,436.53,543.11,807.63,1813.36,52424,51902,51235,53200,51143,52786,54522,53861,54906,55245,58013,54982,55184,55411,55955,55984,57006,56965,57903,58416,59626,59795,54605,55184,54884,55235,54972,57006,56666,57336,58048,58900,59352,377,0,527,720,1012,0,299,567,368,726,443,110343,109208,109593,110016,112601,113004,111460,112054,113148,112868,114135,613.0914946,0,1194.737446,601.1267144,891.4330766,0,2185.840977,1160.457666,895.0580244,1619.407913,239.7242729,NA,202,227,544,29,1022,-41,938,256.5,1210,169,NA,0.37%,0.41%,0.97%,0.05%,1.79%,-0.07%,1.62%,0.44%,2.03%,0.28%,1.97%,-1.24%,0.30%,2.24%,-0.60%,-2.77%,5.05%,0.75%,0.93%,1.35%,3.03%,51,167,111,63,165,228,45,146,159,146,89,0.431391461,0.35405271,0.372664073,0.413275731,0.418331299,0.425176946,0.428375086,0.479031115,0.34440367,0.41499967,0.408548945,724,772,775,786,803,816,907,882,893,1021,1186,162700,162300,168100,162700,168500,172900,178000,181300,213300,228800,235400,NA,NA,605,594,582,NA,NA,368,NA,NA,NA
"Fort Wayne, IN",-2343.82,-217.81,-3312.19,-1684.31,-548.11,-1789.45,368.19,-668.67,1001.54,1865.05,4913.24,138509,142534,138981,142475,142763,143103,147638,146281,154866,155680,160152,152504,152986,153913,154974,155118,156866,159200,160035,164082,165260,167825,150812,151602,151521,154065,153478,155527,158596,158971,163891,164621,167147,1692,1384,2392,909,1640,1339,604,1064,191,639,678,279462,283963,285172,288386,289978,293481,289922,293103,300793,303630,306510,2889.269964,1641.414879,2170.245757,2649.469968,2884.517887,3313.718731,3756.467275,4483.124006,2174.51533,2878.144852,3714.89964,NA,482,927,1061,144,1748,2334,835,2023.5,1178,2565,NA,0.32%,0.60%,0.68%,0.09%,1.11%,1.47%,0.52%,1.23%,0.71%,1.53%,-1.54%,-0.14%,-2.15%,-1.09%,-0.35%,-1.14%,0.23%,-0.42%,0.61%,1.13%,2.93%,168,125,210,176,152,172,150,181,168,152,90,0.390954731,0.433525206,0.436536652,0.399142733,0.405662722,0.418271009,0.43062906,0.377744117,0.443915981,0.412606528,0.483991939,645,664,658,715,705,737,767,780,871,979,941,114800,113000,115200,123700,121100,133700,135700,143800,173000,200400,222700,827,866,1290,1169,1474,1023,277,1234,277,1250,713
"Lewiston-Auburn, ME",-1050.99,-572.20,948.96,92.90,50.38,1819.91,-820.99,-114.80,1498.39,-404.35,1460.02,44641,43736,44267,45138,44917,45978,44897,45924,46323,46233,48240,48324,47238,48314,47842,48128,48581,49036,48335,49443,49102,50314,47971,46495,46500,47302,47709,47895,48550,48335,48878,48949,49609,353,743,1814,540,419,686,486,0,565,153,705,88292,87099,87270,86967,87811,87804,85380,85631,88871,90385,91369,44.72226346,0,922.4898076,0,568.1285003,1369.536725,559.1975607,0,1654.515919,0,397.1630629,NA,-1086,1076,-472,286,453,455,-701,554,-341,1212,NA,-2.30%,2.23%,-0.99%,0.59%,0.93%,0.93%,-1.45%,1.12%,-0.69%,2.41%,-2.17%,-1.21%,1.96%,0.19%,0.10%,3.75%,-1.67%,-0.24%,3.03%,-0.82%,2.90%,186,163,55,116,137,47,212,176,94,219,91,0.423600605,0.474781403,0.501931007,0.447023631,0.443059965,0.409183027,0.413137674,0.326100473,0.420940776,0.495079013,0.509590209,691,690,702,721,731,688,774,821,866,977,997,152500,145900,153800,147500,155800,153500,158900,173900,219800,248300,263000,907,1267,NA,1097,NA,NA,NA,NA,NA,NA,NA
"Green Bay, WI",-636.24,-182.79,188.00,3058.57,2384.84,1662.40,1682.18,5418.12,3776.56,5372.99,3314.30,98776,99703,101533,103895,104804,104868,104470,107384,110225,112389,112026,105050,105765,107197,107079,107936,109017,108864,110045,113592,115209,115301,104907,105693,106990,106594,107757,108449,108864,109365,113216,114682,114401,143,72,207,485,179,568,0,680,376,527,900,202025,201445,204764,204888,208269,208758,203531,206295,210670,215158,213805,529.481405,782.9186262,541.2848756,536.0145744,92.98670279,0,812.076016,1933.258853,1196.484549,1949.089915,83.8077129,NA,715,1432,-118,857,1081,-153,1181,1773.5,1617,92,NA,0.68%,1.34%,-0.11%,0.79%,0.99%,-0.14%,1.07%,1.56%,1.40%,0.08%,-0.61%,-0.17%,0.18%,2.86%,2.21%,1.52%,1.55%,4.92%,3.32%,4.66%,2.87%,124,128,118,51,73,91,119,48,86,37,92,0.424414316,0.41639204,0.411928819,0.425315395,0.354060819,0.357498372,0.364611329,0.386664058,0.403489279,0.396372935,0.390134426,682,706,692,711,737,747,801,788,839,889,1007,156300,158700,155200,158600,164700,171600,174900,190300,225300,244200,264800,7568,8069,7993,8060,8375,7905,8517,8642,7264,7500,7648
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",7511.98,10050.39,31302.18,27296.58,16345.91,44758.95,67855.19,89949.44,79693.74,83167.39,74209.64,2202280,2194033,2206975,2211008,2217039,2258137,2261699,2298799,2417889,2458642,2458942,2397964,2399004,2410477,2413816,2424138,2450086,2459845,2472307,2565562,2598870,2607804,2366878,2366476,2370588,2379649,2395453,2416037,2421439,2438379,2531917,2574314,2585614,31086,32528,39889,34167,28685,34049,38406,33928,33645,24556,22190,4839249,4863874,4887451,4903060,4918459,4944500,4799280,4807074,4915350,4952457,4950071,59043.79174,69325.47069,80539.45807,81321.12063,79912.34026,85478.19287,109057.3739,109132.847,69359.32092,72292.6578,74223.37009,NA,1040,11473,3339,10322,25948,9759,12462,46627.5,33308,8934,NA,0.04%,0.48%,0.14%,0.43%,1.06%,0.40%,0.50%,1.82%,1.28%,0.34%,0.31%,0.42%,1.30%,1.13%,0.67%,1.83%,2.76%,3.64%,3.11%,3.20%,2.85%,90,101,80,92,113,83,90,68,92,85,93,0.497861601,0.502244967,0.507048332,0.494147461,0.471993592,0.44910284,0.478269173,0.480466095,0.477858016,0.486455643,0.490945124,968,997,1020,1062,1073,1082,1134,1162,1258,1358,1456,235100,233600,234400,240900,245600,250900,256400,263700,300300,332600,356700,11568,11778,11785,14102,9642,10139,9563,8186,10081,8588,8261
"Wausau-Weston, WI",-547.34,746.91,858.73,816.85,1876.52,294.36,297.25,1895.58,1028.41,2072.16,1730.80,52147,54422,54739,54558,55147,55085,56245,54765,57567,56665,58104,56837,57474,57461,57104,57728,58221,59066,58541,59674,58841,60846,56652,57374,57197,56856,57701,57852,58760,57158,59528,58610,60687,185,100,264,248,27,369,306,1383,146,231,159,107747,108749,109116,110414,110524,109954,109237,108218,110428,110762,112228,1286.011797,931.2458355,552.169452,368.5244142,1593.497216,292.4835011,0,1476.505584,105.7744523,1127.532627,1341.52573,NA,637,-13,-357,624,493,845,-525,566.5,-833,2005,NA,1.11%,-0.02%,-0.63%,1.08%,0.85%,1.43%,-0.90%,0.95%,-1.42%,3.30%,-0.96%,1.30%,1.49%,1.43%,3.25%,0.51%,0.50%,3.24%,1.72%,3.52%,2.84%,139,70,70,84,49,120,145,78,135,78,94,0.410304382,0.453576159,0.412470024,0.362730578,0.310604045,0.346959632,0.311019371,0.390256097,0.450110865,0.427048226,0.285741542,702,678,663,721,708,685,756,750,774,868,977,143700,141900,145600,151500,146700,148400,164800,163000,182700,196600,215700,976,495,861,1174,NA,1143,NA,4688,NA,NA,NA
"Olympia-Lacey-Tumwater, WA",2097.28,345.36,1579.27,3837.18,2659.27,5637.48,4541.86,6898.26,8618.47,5555.56,3530.48,102335,99815,103318,105159,105864,112076,110714,112910,117186,118571,119786,108858,108393,110558,110775,111674,115494,117263,118385,121450,124487,125428,107818,108069,109767,110706,111341,114883,117044,116910,120174,123030,125226,1040,324,791,69,333,611,219,1475,1276,1457,202,210123,213547,216474,220930,225892,229369,232526,236249,242271,244040,242613,2346.22232,3436.767405,2726.065358,3929.738501,2707.682943,2705.409847,5082.057788,5002.62631,5473.499122,3891.439171,2839.221425,NA,-465,2165,217,899,3820,1769,1122,1532.5,3037,941,NA,-0.43%,1.96%,0.20%,0.81%,3.31%,1.51%,0.95%,1.26%,2.44%,0.75%,1.93%,0.32%,1.43%,3.46%,2.38%,4.88%,3.87%,5.83%,7.10%,4.46%,2.81%,52,106,74,41,69,30,61,31,15,50,95,0.517143928,0.468056397,0.452342055,0.461509726,0.532650972,0.475894659,0.486864929,0.533812461,0.523807104,0.519626924,0.53777678,988,1032,1108,1044,1136,1203,1222,1255,1474,1585,1776,228300,237000,244100,244800,261700,283400,314900,333100,412800,488100,493100,1013,2126,1340,1540,1541,NA,1024,1140,NA,594,1394
"Jefferson City, MO",-378.30,-1534.05,-2645.60,-2312.76,-2269.70,-3334.40,-3002.28,-619.60,-1240.59,1900.82,1943.19,57934,53979,55888,55447,55366,54732,57054,59728,55813,67085,66579,62106,60182,61980,61062,62156,62148,64230,64094,63670,72799,69916,61209,58212,61328,60664,60404,60803,63367,63334,62135,71027,69619,897,1970,652,398,1752,1345,863,760,1535,1772,297,122640,122661,121995,122170,120944,121406,113220,111292,113555,131879,131244,0,0,0,125.613452,0,0,436.2130183,0,2181.676479,2370.064594,1575.466114,NA,-1924,1798,-918,1094,-8,2082,-136,-212,9129,-2883,NA,-3.20%,2.90%,-1.50%,1.76%,-0.01%,3.24%,-0.21%,-0.33%,12.54%,-4.12%,-0.61%,-2.55%,-4.27%,-3.79%,-3.65%,-5.37%,-4.67%,-0.97%,-1.95%,2.61%,2.78%,125,222,259,253,255,276,279,201,252,108,96,0.341452833,0.334326362,0.372867005,0.339861352,0.315295551,0.30641708,0.401794918,0.339779006,0.313526668,0.285177453,0.320263325,550,617,589,608,632,640,636,710,672,816,792,139000,126600,145500,151500,148500,155200,160900,164200,179800,202600,212600,1834,3304,1876,2908,2207,2458,1507,2248,1149,NA,1921
"Omaha-Council Bluffs, NE-IA",3724.87,573.77,-497.15,1.41,2330.31,3356.77,8701.48,5391.89,8451.51,9712.41,8920.25,268506,269864,272550,276779,278935,284106,287131,291768,308534,314288,318436,286100,288439,291951,295092,298107,302012,305778,309606,322650,326719,332272,284790,286285,290349,293535,296090,300626,303538,308144,321444,325595,331177,1310,2154,1602,1557,2017,1386,2240,1462,1206,1124,1095,538104,547065,557198,565021,569966,579791,572380,579371,598713,606702,612064,6270.063893,3334.832152,3499.377387,2779.481963,5274.814629,5401.40293,10239.93134,6837.608829,5652.199405,5052.39408,5466.140706,NA,2339,3512,3141,3015,3905,3766,3828,6522,4069,5553,NA,0.81%,1.20%,1.06%,1.01%,1.29%,1.23%,1.24%,2.02%,1.25%,1.67%,1.30%,0.20%,-0.17%,0.00%,0.78%,1.11%,2.85%,1.74%,2.62%,2.97%,2.68%,65,113,134,128,110,101,83,122,104,89,97,0.428142975,0.439533172,0.421437352,0.419648796,0.436667416,0.39604047,0.415741723,0.405153315,0.469011882,0.474699471,0.444720838,777,783,830,835,871,891,910,949,1007,1102,1168,144700,146500,147300,155200,164000,170200,178900,190800,231100,262700,278300,1591,3014,3058,3538,2951,3244,3254,3125,2057,3665,3493
"Providence-Warwick, RI-MA",-4207.23,-1025.20,-169.12,-1566.75,3141.87,3998.91,7811.42,12896.14,16580.75,26101.28,18667.42,633238,628463,633037,634394,632791,637374,633204,638188,684560,679883,677970,684740,678314,685787,688297,686601,692180,695067,696702,724792,711611,713157,680395,672913,680890,684730,682338,685367,689470,691066,720076,707644,709272,4345,5401,4897,3567,4263,6813,5597,5636,4716,3967,3885,1347709,1350062,1361272,1363105,1368886,1377416,1324255,1329231,1374362,1354662,1357354,10750.35383,11430.1428,15268.59973,16237.66966,20046.9676,19164.95778,30873.54453,32252.13214,17017.86051,18922.02454,15305.63434,NA,-6426,7473,2510,-1696,5579,2887,1635,14045,-13181,1546,NA,-0.95%,1.09%,0.36%,-0.25%,0.81%,0.42%,0.23%,1.94%,-1.85%,0.22%,-0.61%,-0.15%,-0.02%,-0.23%,0.46%,0.58%,1.12%,1.85%,2.29%,3.67%,2.62%,127,126,124,140,123,118,126,120,115,73,98,0.472679247,0.489763431,0.480326422,0.442065828,0.457477517,0.427347998,0.440843981,0.451710806,0.466044896,0.453823751,0.471373686,848,885,890,910,903,916,956,1003,1099,1201,1330,246500,246100,249700,254500,265300,277400,288700,296800,364000,398300,430200,19951,24631,19521,18690,20152,22424,22690,21255,15516,19887,19370
